life_stage,latin_name_clean,average_height_m,minimum_crown_radius_m
early_mature,fraxinus excelsior,12.2,4.7
early_mature,platanus x hispanica,15.9,6.2
early_mature,quercus robur,12.7,5.4
early_mature,salix alba,13.8,4.5
late_mature,fraxinus excelsior,15.4,6.1
late_mature,quercus robur,16.0,7.8
late_mature,salix alba,18.2,5.8
mature,fraxinus excelsior,13.7,5.6
mature,platanus x hispanica,20.3,9.1
mature,quercus robur,16.5,7.4
mature,salix alba,21.1,7.1
mature,tilia europaea,19.5,7.8
semi_mature,fraxinus excelsior,12.0,3.3
semi_mature,platanus x hispanica,9.7,4.5
semi_mature,quercus robur,10.1,4.4
semi_mature,salix alba,9.7,2.0
semi_mature,tilia europaea,13.6,4.6
young,fraxinus excelsior,5.8,1.9
young,platanus x hispanica,8.0,3.9
young,quercus robur,5.8,2.3
young,salix alba,12.0,4.0
